                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.8512,                0.66222,                 1.2556,                0.90821,                      1,                  0.995,                0.84606,                0.73089,                0.96483,                   1.14,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.71557,                0.67932,                 1.2577,                0.91517,                      1,                  0.995,                0.82142,                0.75101,                0.91124,                 1.1432,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.75304,                 0.7407,                 1.2641,                0.91517,                      1,                  0.995,                0.82142,                0.75101,                0.91124,                 1.1432,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.80878,                0.81617,                 1.2845,                0.91517,                      1,                  0.995,                0.82142,                0.75101,                0.91124,                 1.1432,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.1106,                 0.9517,                 1.5579,                0.91986,                      1,                  0.995,                0.82145,                0.75884,                0.86999,                 1.1397,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.91724,                0.84577,                 1.2681,                0.91986,                      1,                  0.995,                0.82145,                0.75884,                0.86999,                 1.1397,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.75164,                0.68952,                 1.2561,                0.91986,                      1,                  0.995,                0.82145,                0.75884,                0.86999,                 1.1397,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.77472,                0.62449,                 1.1572,                0.92406,                      1,                  0.995,                0.82146,                0.77155,                0.82865,                 1.1391,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.70686,                0.73256,                 1.2693,                0.92406,                      1,                  0.995,                0.82146,                0.77155,                0.82865,                 1.1391,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 0.9341,                0.77532,                 1.3654,                0.92406,                      1,                  0.995,                0.82146,                0.77155,                0.82865,                 1.1391,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.94744,                0.88758,                 1.3288,                0.93305,                      1,                  0.995,                0.82147,                0.76703,                0.80496,                 1.1313,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.73987,                 0.6671,                 1.2533,                0.93305,                      1,                  0.995,                0.82147,                0.76703,                0.80496,                 1.1313,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.58331,                 0.5724,                 1.0883,                0.93305,                      1,                  0.995,                0.82147,                0.76703,                0.80496,                 1.1313,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.1366,                0.82109,                 1.2938,                0.94068,                      1,                  0.995,                 0.8215,                0.76913,                0.76487,                 1.1383,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.78561,                0.66254,                 1.2237,                0.94068,                      1,                  0.995,                 0.8215,                0.76913,                0.76487,                 1.1383,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.78815,                 0.7883,                 1.3055,                0.94068,                      1,                  0.995,                 0.8215,                0.76913,                0.76487,                 1.1383,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.88958,                0.77981,                 1.2174,                0.94068,                      1,                  0.995,                 0.8215,                0.76913,                0.76487,                 1.1383,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.83604,                0.86716,                 1.3112,                0.94414,                      1,                  0.995,                0.84666,                0.77801,                0.75515,                 1.1379,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.81232,                0.63804,                 1.2022,                0.94414,                      1,                  0.995,                0.84666,                0.77801,                0.75515,                 1.1379,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.77266,                  0.576,                 1.1839,                0.94414,                      1,                  0.995,                0.84666,                0.77801,                0.75515,                 1.1379,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.71191,                 0.7557,                 1.2332,                0.94414,                      1,                  0.995,                0.84666,                0.77801,                0.75515,                 1.1379,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 0.8528,                0.90024,                 1.2616,                 0.9509,                      1,                  0.995,                0.84661,                 0.7817,                0.75331,                 1.1359,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.63517,                0.73406,                  1.115,                 0.9509,                      1,                  0.995,                0.84661,                 0.7817,                0.75331,                 1.1359,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.88384,                0.93659,                 1.2733,                 0.9509,                      1,                  0.995,                0.84661,                 0.7817,                0.75331,                 1.1359,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.79135,                 0.8168,                 1.2345,                 0.9509,                      1,                  0.995,                0.84661,                 0.7817,                0.75331,                 1.1359,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.71273,                0.75823,                 1.1688,                0.95199,                      1,                  0.995,                0.84658,                0.77181,                0.71954,                 1.1421,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.75695,                 0.8909,                 1.1789,                0.95199,                      1,                  0.995,                0.84658,                0.77181,                0.71954,                 1.1421,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.70607,                0.74482,                 1.2305,                0.95199,                      1,                  0.995,                0.84658,                0.77181,                0.71954,                 1.1421,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.72831,                0.79924,                 1.2859,                0.95199,                      1,                  0.995,                0.84658,                0.77181,                0.71954,                 1.1421,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.62778,                0.70923,                 1.2204,                 0.9525,                      1,                  0.995,                0.84653,                0.70411,                0.73984,                 1.1054,             2.3444e-06,             2.3444e-06,             2.3444e-06
